ID	locution1	locution2	proposition1	proposition2	label	prep_needed	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected
QT50_423	we have been chronically underfunded	"it's a very, very, very good health service"	we have been chronically underfunded	"NHS is a very, very, very good health service"	non-contradiction	false		"it's a very, very, very good health service"		
QT30_475	"guess who is in charge of Afghanistan today, even more powerful and involved than before"	"yes, it was"	"guess who is in charge of Afghanistan today, even more powerful and involved than before"	"yes, the Taliban was toppled"	contradiction	true				
QT50_112	"what's more important, the people there led by Volodymyr Zelensky are absolutely determined to resist this invasion"	the city centre is well fortified	"what's more important, the people there led by Volodymyr Zelensky are absolutely determined to resist this invasion"	the city centre of Kyiv is well fortified	non-contradiction	false				
QT50_590	the other countries have done better out of it	The trade deals that have been done with other countries have made us worse off	the other countries have done better out of the trade deals	the trade deals that have been done with other countries have made us worse off	non-contradiction	false				
QT30_419	"now, you know, that's not allowed for insurance and things like that"	"In the olden days, they used to be able to take their wives with them"	now HGV drivers are not allowed to take their wives with them for insurance and things like that	"in the olden days, HGV drivers used to be able to take their wives with them"	non-contradiction	true				
QT30_30	he wasn't	he was shaking hands with the staff	Boris Johnson wasn't shaking hands with coronavirus patients in a hospital	Boris Johnson was shaking hands with the staff	non-contradiction	true	he wasn't		Boris Johnson wasn't shaking hands with coronavirus patients in a hospital	
QT50_384	we shouldn't hate	We can disagree	we shouldn't hate	we can disagree	non-contradiction	false				
QT30_498	You might not be racist whatsoever	if you disagree with taking the knee you're seen to be racist	you might not be racist whatsoever if you disagree with taking the knee	if you disagree with taking the knee you're seen to be racist	contradiction	false				
QT50_106	So I think the bottom line is the Chancellor is not doing as much as he could do	What the Chancellor is doing is bringing that down to 2.2 per cent	the bottom line is the Chancellor is not doing as much as he could do	what the Chancellor is doing is bringing that down to 2.2 per cent	non-contradiction	false				
QT50_227	we do	"We know that the government breaks the law, both domestic and international"	we do have regard for the law	"we know that the government breaks the law, both domestic and international"	non-contradiction	false				
