ID	locution1	locution2	proposition1	proposition2	label	prep_needed	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected
QT30_440	apart from the fact that global prices have gone up	energy bills are going up	apart from the fact that global prices have gone up	energy bills are going up	non-contradiction	false				
QT50_530	We have no successor agreement to Dublin	we could	we have no successor agreement to Dublin	when Britain were part of the EU we could return people seeking asylum to other European countries	contradiction	true				
QT30_318	"I'm feeling positive about COP, actually"	The leaders didn't have support	"Tim Stanley is feeling positive about COP26, actually"	the leaders didn't have support	contradiction	false				
QT50_98	they will prefer to stay in Poland	"You estimated 200,000 people coming to this country"	the dispossessed Ukrainians would prefer to stay in Poland	"you estimated 200,000 people coming to this country"	contradiction	false				
QT50_81	"that would be, I think, in his interests and clearly, it would be in the Ukrainian president's interest to try and get all those vulnerable people out who would like to leave, who are desperate to leave"	the Russians may say this is too risky and they'll bring arms in and it may fall away	"a humanitarian corridor would be in Mr Putin's interests and clearly, it would be in the Ukrainian president's interest to try and get all those vulnerable people out who would like to leave, who are desperate to leave"	the Russians may say this is too risky and they'll bring arms in and a humanitarian corridor may fall away	contradiction	false				
QT50_543	You can't guarantee on a normal day that you will get an ambulance when you need it	we're in the ludicrous position at the moment where Conservative ministers are talking about introducing minimum standards during strikes	You can't guarantee on a normal day that you will get an ambulance when you need it	we're in the ludicrous position at the moment where Conservative ministers are talking about introducing minimum standards during strikes	non-contradiction	false				
QT30_389	"unless we are saying to these farmers ""We don't want a pig industry in this country"""	It has to be resolved	"unless we are saying to these farmers ""We don't want a pig industry in this country"""	the issue of culling healthy pigs that won't go into our food chain has to be resolved	contradiction	true				
QT30_199	I have a mandate from those people for independence	"in these elections, people can happily vote for the SNP if they are pro remaining in the United Kingdom, safe in the knowledge that they are voting for an SNP government with a much broader agenda and a broader set of elections"	there is a mandate from those people for independence	"in these elections people could happily vote for the SNP if they were pro remaining in the United Kingdom, safe in the knowledge that they would be voting for an SNP government with a much broader agenda and a broader set of elections"	contradiction	false				
QT50_294	I haven't seen Bim particularly featuring again back to the policy and the strategy of the road that we are on in the Levelling Up Bill as though how this is going to be resolved	affordable housing for people to stay in communities is now a massive and growing issue	Minette Batters hasn't seen Bim Afolami particularly featuring again back to the policy and the strategy of the road that we are on in the Levelling Up Bill as though how this is going to be resolved	affordable housing for people to stay in communities is now a massive and growing issue	non-contradiction	false				
QT30_167	it's now internationally average for education	Scotland was once a world leader	Scotland is now internationally average for education	Scotland was once a world leader in education	non-contradiction	false				
QT30_379	"we've got to be very careful to balance that with keeping the so very important aspect, almost unique in our democracy, which is the openness and accessibility of elected representatives to their constituents"	The protection should be there if a member of parliament feels that they require it or that their staff should require it	"we've got to be very careful to balance that with keeping the so very important aspect, almost unique in our democracy, which is the openness and accessibility of elected representatives to their constituents"	the protection should be there if a member of parliament feels that they require it or that their staff should require it	non-contradiction	false				
QT30_330	what about the actual politicians that are attending this conference	"The cost to the consumer, the general public"	xxx is what about the actual politicians that are attending this conference	"we've discussed the cost to the consumer, the general public"	non-contradiction	true				
QT50_274	they don't come up with any ideas	the Labour Party are fabulous at criticising	the Labour Party don't come up with any ideas	the Labour Party are fabulous at criticising	contradiction	false				
QT30_111	"yet, if you want to ship something like mince, for example, from Great Britain to Northern Ireland"	No question of there being checks	"yet if you want to ship something like mince, for example, from Great Britain to Northern Ireland"	no question of there being checks	non-contradiction	false				
US2016_18	"I defunded Planned Parenthood more than four years ago , long before any of these videos came out"	"Unlike Hillary Clinton , who has a radical position in terms of support for Planned Parenthood"	"WALKER defunded Planned Parenthood more than four years ago , long before any of these videos came out"	Hillary Clinton has a radical position in terms of support for Planned Parenthood	contradiction	false				
QT50_596	look what's happening now in Northern Ireland with the protocol	"the people in Northern Ireland, the majority did not vote for Brexit"	look what's happening now in Northern Ireland with the protocol	"the people in Northern Ireland, the majority did not vote for Brexit"	non-contradiction	false				
QT50_495	We may disagree with what they want to do a lot of the time	most politicians go into politics to try and make the country better	we may disagree with what the politicians want to do a lot of the time	most politicians go into politics to try and make the country better	contradiction	false				
QT50_366	she's this high	It's her lifetime ago	AudienceMember 20221020QT31's daughter is small	it's AudienceMember 20221020QT31's daughter's lifetime ago	non-contradiction	true				
QT50_362	It never materialised	which was arranged after the referendum to give Scotland more powers	promised extra powers for Scotland never materialised	the Smith Commission was arranged after the referendum to give Scotland more powers	contradiction	false				
QT30_530	there are 18 million adults in the country that's going to take more weeks	35 million have had their first jab	there are 18 million adults in the country that's going to take more weeks	35 million have had their first jab	contradiction	false				
US2016_61	I can't do it	to her family	TRUMP can't say anything extremely rough to CLINTON and to her family	TRUMP was going to say something extremely rough to CLINTON's family	contradiction	true				
QT30_207	"when the situation changed in England, hey presto, they extended the furlough"	we were refused	"when the situation changed in England, hey presto, they extended the furlough"	the extension of the furlough was refused	contradiction	true				
QT50_437	Instead of which he's now being held to account by Ant and Dec instead of being held to account by the COVID enquiry	He could have made real change happen	instead of making real change happen Matt Hancock's now being held to account by Ant and Dec instead of being held to account by the COVID enquiry	Matt Hancock could have made real change happen	contradiction	false	Instead of which he's now being held to account by Ant and Dec instead of being held to account by the COVID enquiry		instead of making real change happen Matt Hancock's now being held to account by Ant and Dec instead of being held to account by the COVID enquiry	
QT50_609	the IMF often make forecasts which are not correct	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	the IMF often make forecasts which are not correct	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	contradiction	false		the IMF forecast the UK to be the only G7 economy that's going to shrink this year		the IMF forecast the UK to be the only G7 economy that's going to shrink this year
QT30_213	which the evidence doesn't bear out in any way	The Health Secretary is claiming it's because the positivity rate in Pakistan was three times that of India	the evidence doesn't bear out in any way the positivity rate in Pakistan being three times that of India	the Health Secretary is claiming it's because the positivity rate in Pakistan was three times that of India	contradiction	true				
QT50_396	"not themselves,"	they should have the best interests of the country uppermost in their minds	the politicians should not have themselves uppermost in their minds	the politicians should have the best interests of the country uppermost in their minds	non-contradiction	false				
QT50_58	I agree with some of the points	Just disappointed	AudienceMember 20220224QT02 agrees with some of the points made	AudienceMember 20220224QT02 feels just disappointed about the responses heard to the Covid situation.	contradiction	false				
QT30_303	"if you're a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help"	There are always ways of getting around that kind of thing	"if you're a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help"	there are always ways of getting around that kind of thing	contradiction	false				
QT50_584	"Which isn't, to me, a particularly attractive prospect"	turned into some kind of weird campaign to turn Britain into Singapore on Thames	turning Britain into Singapore is not a particularly attractive prospect	Brexit turned into some kind of weird campaign to turn Britain into Singapore on Thames	non-contradiction	true				
US2016_36	I 'm not even complaining	"in a way , I should be complaining"	TRUMP 's not even complaining	"in a way , TRUMP should be complaining"	contradiction	false				
QT50_99	The only major economy incidentally in the world that is imposing taxes at a time like this	"that will clobber the average family by over an extra Â£1,000 a year"	Britain is the only major economy incidentally in the world that is imposing taxes at a time like this	"the national insurance tax hike will clobber the average family by over an extra Â£1,000 a year"	non-contradiction	true		"that will clobber the average family by over an extra £1,000 a year"		"the national insurance tax hike will clobber the average family by over an extra £1,000 a year"
QT50_371	"that's going to block it, is it not"	Surely one of the arguments voting for independence is to enable Scotland to join the EU	using the pound is going to block joining the EU	surely one of the arguments voting for independence is to enable Scotland to join the EU	contradiction	true				
QT50_26	that money will be clawed back	Yes	that money will be clawed back	"yes, the measures are not targeted"	non-contradiction	false				
QT50_481	there are also so many opportunities if we get this right	I don't underestimate the huge task that is ahead of us	there are also so many opportunities if we get this right	Caroline Lucas doesn't underestimate the huge task that is ahead of us	non-contradiction	false		I don't underestimate the huge task that is ahead of us		
QT50_311	We're already in recession now	than having a horrible recession	we're already in recession now	we should not have a horrible recession	contradiction	true				
QT30_482	they knew they had to get the licences in January	they are complaining they haven't got their licences	they knew they had to get the licences in January	they are complaining they haven't got their licences	contradiction	false				
QT50_476	"even if China's not there, India's not there"	also some of the unexpected things or at least positive things that are coming out of the countries	China and India are not attending COP27	we also have to look at some of the unexpected things or at least positive things that are coming out of the countries that are attending COP27	non-contradiction	true	"even if China's not there, India's not there"			
QT50_52	it was the case that the scientific advice was not that we should have locked down earlier than we did	So lots and lots of planning and preparation went into responding to this	the scientific advice was not that we should have locked down earlier than we did	lots and lots of planning and preparation went into responding to a lockdown	non-contradiction	true				
QT50_102	Right now we don't have any of those three things	"Crucially, more than anything else, we need energy that is affordable, that is reliable and that is secure"	"right now we don't have any of those three things, energy that is affordable, that is reliable and that is secure"	"crucially, more than anything else, we need energy that is affordable, that is reliable and that is secure"	contradiction	false				
QT30_126	We can have debates about timing and when the best time to do it would be	This is not about timing	we can have debates about timing and when the best time to hold a second referendum would be	the question of a second referendum is not about timing	contradiction	false				
QT30_391	it doesn't end there	I haven't been able to get to see either Kevin Foster or Priti Patel in the Home Office	it doesn't end there	Minette Batters hasn't been able to get to see either Kevin Foster or Priti Patel in the Home Office	non-contradiction	false				
QT30_328	most of us don't have sufficient insulation	Of course people need to be able to change	most of us don't have sufficient insulation	of course people need to be able to change	contradiction	false				
QT50_39	Not only does that treat people like children	There are some people that think these questions shouldn't be aired	not wanting to air the questions on people's decision not to get the vaccination treats people like children	there are some people that think these questions on people's decision to not get the vaccination shouldn't be aired	contradiction	true				
QT50_124	is never held accountable	Boris seems to always apologise and always say I'm sorry	Boris Johnston is never held accountable	Boris Johnston seems to always apologise and always say 'I'm sorry'	contradiction	false				
QT50_668	they haven't delivered it	The Government have promised a renters reform	the Government haven't delivered the promised reform for renters	the Government have promised a renters reform	contradiction	false				
QT50_92	we repeatedly debate this	why we're even debating this	we repeatedly debate lifting visa requirements for refugees	we should not be debating lifting Visa requirements for refugees from Ukraine	contradiction	true				
QT30_354	there are two other things you need	You can have the legislation	there are two other things you need	you can have the legislation	non-contradiction	false				
