ID	prime_sample	label
QT50_638	'so maybe not all but pretty damn near all', 'it wasn’t all major roads'	self-contradiction
QT50_293	'that is only going to happen in 2023', 'It looks like the loophole is going to be closed'	self-contradiction
QT30_065	'They had to wait 10 days to find out they’re getting 40 million pounds', 'quick action for the businesses affected'	self-contradiction
QT30_061	'that’s just wrong, it’s wrong', 'Otherwise, unsurprisingly, young people…young black people in Britain will think that there has been no progress'	self-contradiction
QT30_191	'the system we're in makes life often worse generation after generation for working-class people', 'they're up against extremely powerful people with a private education, with inherited money, for whom life will always get better'	non-contradiction
QT30_447	'then actually GPs just carried on doing it remotely anyway', 'NHS England changed their guidance in May'	self-contradiction
QT30_476	'Stop putting words in my mouth', 'the whole thing with Afghanistan was doomed from the start, it was a total catastrophe, no good came out of it'	non-contradiction
QT50_463	'that was unrelated', 'I was at the Conservative Party Conference'	non-contradiction
QT50_661	'nothing', 'we hear words from the Conservative Government'	self-contradiction
QT30_054	'that’s not what happened, Germany as an example', 'otherwise every country in the world would’ve done the same thing'	non-contradiction
QT50_578	'you can't biologically change sex', 'You can live your life how you like'	non-contradiction
QT30_407	'it isn't encouraging conversation on what's going on now', 'We are looking at the society of Victoria, which is important'	non-contradiction
QT50_545	'there is a lot of politics in it of course', 'the position is, the way it's worked, and by the way, not just under the Conservative Government but under previous governments is that these decisions, you try to take the politics out of it'	self-contradiction
QT50_288	'it never happens on the classroom floor', 'what we really want is to see our young people being looked after the way they are promised by Government'	self-contradiction
QT30_451	'we have fewer GPs now than we had in 2015', 'The Conservative government has been talking…has had at least two go's at recruiting more GPs'	self-contradiction
QT50_348	'people are living in terror about more, the mortgage costs going up', 'people are living in terror about the energy costs'	self-contradiction
