ID	prime_sample	label
QT30_215	'we've had in seven years, by the way, 60 different rail projects announced for the North of England by this government', 'we've yet to see a spade in the ground'	contradiction
US2016_6	'cost of college today is the cost of high school years ago', 'a college degree is as important to your future today as the high school diploma was 50 years ago'	contradiction
QT30_94	'As a government we've not got plans to introduce a passport or anything like that, of that nature', 'businesses may look to do that in the future'	non-contradiction
QT30_363	'We were sincerely hoping that the UK government would invest the billion pounds that had been promised', 'instead that money is going to projects in England'	non-contradiction
QT30_279	'That's an unknown', 'It is not entirely an unknown'	contradiction
QT30_90	'the NHS will do it', 'The NHS relies on subcontractors to do the job of rolling it out'	contradiction
QT30_151	'the RCN is quite strongly making a compelling case for the 12.5 per cent increase', 'but at least do what the Scottish Government has done'	non-contradiction
QT30_275	'politicians are anybody special', 'people do look to them for leadership'	non-contradiction
QT30_35	'it's not necessarily even about spending more money', 'there could be a case for more target funding'	contradiction
QT30_25	'we should have been leading the way in reopening', 'we're not'	non-contradiction
QT30_320	'I'm five minutes from where things are happening', 'I find a reason not to be in the room'	non-contradiction
QT30_30	'he was shaking hands with the staff', ' he wasn't'	contradiction
QT30_298	'The reality is we're going to vaccinate our population', 'we also need to see the balance that Nigel's referred to'	non-contradiction
QT30_283	'Normal got us here', 'we don't know factually what got us here'	contradiction
QT30_549	'We have done a disservice by saying it takes ten years to make a vaccine', 'Technology is changing very, very quickly'	contradiction
QT30_201	'I'm a proud Welshman', 'I love being part of Britain'	contradiction
US2016_44	'temperament , let 's go after', 'my strongest asset , maybe by far , is my temperament'	contradiction
QT30_401	'I don't know how long it takes to train a butcher', 'there has been no plans for training butchers at all'	contradiction
QT30_480	'Ten days ago, the idea of talking to the Taliban was utterly unimaginable', 'Today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with them'	non-contradiction
QT30_58	'there was violence', 'there were huge amounts of peaceful protests on the streets as well'	contradiction
QT30_318	'The leaders didn't have support', 'I'm feeling positive about COP, actually'	non-contradiction
QT30_11	'you have to leave home to do that', 'even if you are told to self-isolate'	contradiction
QT30_496	'it would have reduced anyway due to the pandemic', 'the Government have decided to reduce the percentage as well'	non-contradiction
QT30_231	'He asked for 700 per student', 'you are offer 50'	contradiction
QT30_564	'I want the Government to do well', 'I do have to feel that I can trust that they are telling the truth'	non-contradiction
QT30_301	'They are choosing bricks', ' It should be children as well'	contradiction
QT30_522	'it was made a priority to look after women and gendered violence', 'it's not been done'	contradiction
QT30_127	'I do understand the balancing act, it is a delicate balancing act between the economy and health', 'we've known for a long time the virus is spread very quickly with the movement of people and between people'	non-contradiction
QT30_2	'I don't work in education,', 'but I can see the psychological damage that potentially is happening to a whole generation of children.'	contradiction
US2016_46	'if there were nuclear war in East Asia , well , you know , that 's fine', 'Wrong'	non-contradiction
QT30_164	'we've been separated from our families like never before', 'we've actually come together as a country like never before to confront COVID'	contradiction
QT30_227	'doctors as well as journalists', 'These are supposed to be protected groups'	non-contradiction
