ID	prime_sample	label
QT50_139	'something is going to happen in the short-term', 'the UK Government's energy strategy is a good long-term energy strategy in some ways'	non-contradiction
QT30_375	'don't dehumanise to the lengths that some might', 'every politicians does have family scrutinised, criticised, hold politicians accountable, do all of that, that's a life bud of our democracy'	non-contradiction
QT50_309	'you need to follow through to get the ball over the net', 'the ball will go into the net'	non-contradiction
QT30_236	'we're still in the middle of a raging global pandemic', 'we all want our lives and livelihoods back'	self-contradiction
QT50_085	'people who are propping Putin up is not all the people in Russia', 'whatever else we do, we should not be giving people who are propping Putin up and Putin himself an easy ride'	non-contradiction
QT30_483	'the public of both countries would like both leaders to be grown up', 'Boris Johnson trying to be Churchill is childish'	self-contradiction
QT50_304	'400£ for the pandemic was uncosted', 'the Government helped us with £400 billion during the pandemic'	self-contradiction
QT50_513	'sometimes pay review results are not implemented at exactly the time that is suggested', 'pay review results are usually implemented'	self-contradiction
QT50_429	'the issues in the NHS are not care quality issues', 'waiting lists for doctors appointments means it’s a resources issue'	non-contradiction
QT30_372	'there's only one thing that AudienceMember 20211028QT28 kind of sighs about when it comes to the Scottish Government as it is', 'AudienceMember 20211028QT28 would be so proud for there to be an independent Scotland'	non-contradiction
QT50_089	'the EU is sanctioning these oligarchs', 'we have this absurd situation now where Boris Johnson said he's leading the world in targeting these people'	self-contradiction
QT30_229	'students catching up with £50 over two years is just not going to happen', 'the government is spending £50 per child'	non-contradiction
QT50_273	'three weeks ago, the people who are standing now for this candidate leadership, were voting to keep Boris Johnson in', 'a lot of the people are standing now for this candidate leadership'	non-contradiction
QT30_045	'it’s absolutely horrifying that we can’t provide more for the returning year tens and twelves', 'it’s absolutely delightful to see all the year tens and twelves back'	self-contradiction
QT30_297	'the idea of a passport is ethically unacceptable', 'Audience Member8 works in healthcare and Audience Member8 encourages every patient they meet to get their COVID vaccine'	non-contradiction
QT50_113	'in some areas the tide is turning somewhat', 'not only have the Ukrainians been able to resist the Russian invasion'	non-contradiction
QT50_372	'let's not seek more powers and divide the country all over again', 'let's use the power we have to do all the things we could do right now'	non-contradiction
QT50_178	'the government is deciding to side with the oil and gas companies rather than those pensioners who are struggling to heat their homes', 'political choices are difficult, Damian Green'	non-contradiction
QT50_191	'xxx is why the decision was made', 'you do not make the decision'	self-contradiction
QT50_663	'there is so much more to be done', 'decarbonising at the fastest rate in the G7 is a real achievement'	self-contradiction
QT50_681	'we have an inequality crisis not a cost of living crisis', 'we talk about a cost of living crisis here'	self-contradiction
QT30_018	'it seems to Alex Massie to be infantilising of Government ministers to try to pretend that could be the case', 'you treat people like adults'	self-contradiction
QT50_576	'it is important to recognise the Gender Recognition Reform bill is one of the most consulted on pieces of legislation in history, Scottish history', 'we spoke about whether to review around the Gender Recognition Reform bill earlier on'	non-contradiction
QT30_279	'the decrease is not entirely an unknown', 'what happens with the decrease is an unknown'	non-contradiction
QT30_020	'we have a chance through democracy, to break free, and progress', 'we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else'	self-contradiction
QT30_528	'Deborah Frances-White would love to see more from Sir Keir Starmer on Black Lives Matter', 'Sir Keir Starmer, yes, please'	non-contradiction
QT50_582	'stopping illegal immigrants from opening bank accounts, and housing people potentially in disused army barracks just doesn't feel like the caring and compassionate response AudienceMember20230112QT19 would want from the country he lives in at the moment', 'some of the policies have been announced this week around stopping illegal immigrants from opening bank accounts, and housing people potentially in disused army barracks, going forward'	self-contradiction
QT30_096	'there is a long way to go', 'hope and help is here'	non-contradiction
QT50_519	'Labour failed', 'Labour could have led by example, by actually negotiating, and giving nurses what they wanted in Wales'	non-contradiction
QT30_308	'workers are not working with tools in factories any more', 'it is the idea that the workers are going to put down the tools in the factory'	self-contradiction
QT30_444	'Kate Andrews does not think it's fair to say that any rational person thinks that we should just adopt their policies overnight', 'we might applaud the protestors' end goal'	self-contradiction
QT30_381	'it struck Nick Ferrari for Boris Johnson to deliver a speech in that fashion on the very day that Universal Credit was coming to an end for a lot of people', 'Boris Johnson did what Boris Johnson does'	non-contradiction
