ID	prime_sample	label
QT50_204	'our counterparts in Europe won't change the basis upon which they want to negotiate', 'The government consistently tried to negotiate'	non-contradiction
QT50_547	'what I wanted to say is that we already have in our country…there are certain sectors that can't strike', 'that's absolutely right'	non-contradiction
QT30_019	'if people follow social distancing, if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate', 'I recognise there is a risk that you might be asked to do that more than once,'	non-contradiction
QT30_482	'they knew they had to get the licences in January', 'they are complaining they haven't got their licences'	self-contradiction
QT30_357	'we are not allowed to teach people in larger groups yet, even with social distancing', 'unlike in England'	non-contradiction
QT50_140	'We're now apparently getting a nuclear power station every year', 'nuclear power wasn't seen to be safe'	self-contradiction
QT50_298	'Bridget has the right point', 'I'd love to know where the Labour growth recipe comes from'	non-contradiction
QT50_120	'Now he may well be proved wrong', 'All this time he knew, well, pretty sure he thought he knew, he could go in and he could take more of the country'	self-contradiction
US2016_034	'That's a terrible idea', 'You mean let him control the narrative'	self-contradiction
QT50_261	'in 1970 whether I got married I felt very bitter about it', 'I agree with affordable however'	non-contradiction
QT30_380	'the hole they have left in the National Health Service budget', 'we got a tax hike on working people to pay not for social care'	self-contradiction
QT50_167	'the rules are wrong', 'I'm not criticising her at all'	non-contradiction
QT50_176	'We have so much more homelessness in this country than we did 12 years ago', 'They have the ability to make lives better'	self-contradiction
QT30_110	'no, schools are not safe after all', 'schools are absolutely safe'	self-contradiction
QT30_421	'I don't rule out anything', 'that was actually the solution'	self-contradiction
QT30_207	'when the situation changed in England, hey presto, they extended the furlough', 'we were refused'	self-contradiction
