ID	prime_sample	label
US2016_020	'as if that 's a huge game changer', 'A lot of people are talking about defunding planned parenthood'	self-contradiction
QT30_561	'it's hard to trust politicians at the best of times', 'the idea that we need complete honesty and complete trust'	self-contradiction
QT50_429	'it’s not a care quality issue', 'that means it’s a resources issue'	non-contradiction
QT50_451	'we’re not that stupid, public', 'thinking that we’re all stupid enough to believe it ourselves'	self-contradiction
QT50_280	'dealing with the actual issues and being ready on day one to come in, not as an apprenticeship but ready on day one is really important', 'I know a lot of political bickering and appreciate that,'	non-contradiction
QT30_251	'people are still on furlough, people still aren't back in work', 'The conservative there mentioned, well, things will get back to normal'	self-contradiction
QT30_068	'not primary issues', 'we’re talking about not unimportant issues'	non-contradiction
US2016_007	'This fact is incorrect', 'It's quite scary to imagine that everyone on that stage but Bernie is a Billionaire'	self-contradiction
QT50_203	'actually, I don't care what you call it', 'whilst you can call it a windfall tax'	self-contradiction
QT30_186	'then I ran secondly as a Brexit Party candidate', 'I don't represent the Brexit Party'	self-contradiction
QT50_608	'the IMF forecast the UK to be the only G7 economy that’s going to shrink this year', 'we’ve actually had the third highest rate of growth in the G7 since 2007'	self-contradiction
QT50_237	'I'm not going to list them now', 'There are a lot of things that we did together which worked very, very well indeed'	non-contradiction
QT50_178	'the government is deciding to side with the oil and gas companies rather than those pensioners who are struggling to heat their homes', 'political choices are difficult, Damian'	non-contradiction
QT50_542	'It was just racially motivated', 'because of disability after being attacked by a care work assistant, a support worker, for no reason'	self-contradiction
QT30_269	'leaves him in charge to our response to a global pandemic', 'he believes his Health Secretary to be incompetent'	self-contradiction
QT30_291	'it is clear it is for those businesses that have to close', 'that’s great'	non-contradiction
QT50_242	'it doesn't seem to apply to the government', 'Think how difficult it is for magistrates applying the rules yet'	non-contradiction
QT50_494	'Or are we just nostalgic about the old days', 'have we got a lesser class of politicians now than we used to'	non-contradiction
QT50_514	'The nurses one has come as a real shock', 'over the years, we've got used to different parts of business or organisations going on strike'	self-contradiction
QT30_367	'in the North East of Scotland', 'Not in the North East'	self-contradiction
QT50_002	'We followed the guidance', 'My parents both had COVID'	self-contradiction
QT30_189	'I'm not sitting here, absolutely not, as a representative of any political party at all', 'then I ran secondly as a Brexit Party candidate'	self-contradiction
QT50_088	'they can't do so', 'There are people in Russia who would love to play party politics'	self-contradiction
QT30_377	'not be separate from the people', 'recognising that our politicians are there to serve the people and be accessible to the people'	non-contradiction
QT50_296	'We have got empty properties in Paignton', 'Every bit of land they are'	self-contradiction
QT50_581	'At the moment, that is not allowed', 'it's happened before'	non-contradiction
QT50_302	'suddenly you say we can't help anymore', 'it was one of the best in the world'	self-contradiction
QT50_655	'they're outsourcing most of the carbon emissions to China and so on', 'At the same time, they're saying they're doing such a wonderful job'	self-contradiction
QT30_058	'there were huge amounts of peaceful protests on the streets as well', 'there was violence'	non-contradiction
QT30_413	'the government can't wait until the next election to have to make choices', 'there are choices to make'	non-contradiction
QT30_008	'have behaved with arrogance and with disrespect to the public', 'She accepted there was a potential damage to public consent and participation'	non-contradiction
QT30_418	'unfortunately we've got a just in time government', 'what we need to see for a just in time supply chain is some long term planning'	non-contradiction
