ID	prime_sample	label
QT30_371	'The Scottish Government promised that we would have 130,000 green jobs by 2020', 'we've actually only created 21,400 green jobs in Scotland with the powers that we already have'	contradiction
QT30_49	'We can open hotels, we can put up marquees and that way we can get more kids back into school', 'Great idea; begs the question where are the teachers'	contradiction
QT30_259	'we all, more or less have common sense and realise that we're going to have to sacrifice another 4 weeks', 'it is the constant interference from the requirement to do that that is painful'	non-contradiction
QT30_172	'When we talk about recovery it just can't be a campaign slogan', 'it has to actually be a national mission'	contradiction
QT30_368	'in terms of carbon capture and storage in the Scottish Cluster, in the Acorn project, of course it was disappointing that it didn't achieve tier one status', 'it is a reserve cluster'	contradiction
QT30_473	'The Home Office said they're on a pause', 'Don't pause it'	non-contradiction
QT30_431	'Boris Johnson today is talking about a turning point for humanity', 'he's referencing Kermit the frog'	non-contradiction
QT30_117	'there will be plenty of time for reflection over the coming years', 'at this moment in time what we're focusing on is saving lives, protecting hospitals, protecting the NHS, and making sure we have enough capacity in our NHS to deal with these issues'	contradiction
QT30_261	'Let's understand that this is new, this is constantly changing', 'we've all got used to the fact that we're learning about the vaccine'	non-contradiction
QT30_45	'it's absolutely delightful to see them all', 'it's absolutely horrifying that we can't provide more'	contradiction
QT30_353	'one, legislation is really important', 'it's never enough'	contradiction
US2016_22	'Millions of people in this country agree with you', 'more people do n't'	contradiction
QT30_79	'I grew up in a working class family, my dad was an hourly worker', 'it was an aspirational working class family where we were in the middle class'	contradiction
QT30_273	'You could say nobody knew it was coming and so we were -- the government were on the back foot', 'now that we know a virus of some sort does come up every so often'	contradiction
QT30_402	'the problem here is the elephant in the room and nobody wants to admit to it in the Government is Brexit', 'nobody wants to admit to it in the Government'	non-contradiction
QT30_305	'All that we can do in this situation is try our best to use the best knowledge that we have from the most knowledgeable people and make some sort of estimate about it', 'as complete amateurs, with no modelling, sticking our oar in to say what we think should happen without any idea whether that's an idea at the expense of people potentially dying'	contradiction
QT30_312	'all the packages from the chancellor are fine', 'While the packages are better than nothing, they're not enough'	contradiction
QT30_548	'Quite a lot', 'not unanimous'	non-contradiction
QT30_557	'Matt Hancock and Baroness Harding said today that they've backed both horses of the Google and the android model and the NHS app', 'they've always insisted until this point that they were only going to pursue the NHS app'	contradiction
US2016_9	'This fact is incorrect', 'Trump is the only Billionaire'	contradiction
QT30_504	'many of those people who get the virus today, tomorrow, next week even if they don't end up in hospital', 'some of them will'	non-contradiction
QT30_70	'in the rest of the UK if you're obliged by law to close you'll get a grant', 'all the businesses in the supply chain won't get funding, the businesses impacted won't get funding'	contradiction
US2016_10	'It's quite scary to imagine that everyone on that stage but Bernie is a Billionaire', 'This fact is incorrect'	contradiction
QT30_195	'I want there to be a Labour Party that is good', 'it isn't at the moment'	non-contradiction
QT30_507	'250,000 children missed school last week because of Covid-related stuff', 'The vast majority of them have not got Covid'	contradiction
US2016_48	'not global warming', 'like you think'	non-contradiction
QT30_476	'yes, it was', 'guess who is in charge of Afghanistan today, even more powerful and involved than before'	non-contradiction
QT30_85	'I live in West Lindsey which at the minute is relatively low in tier one', 'two miles at the side of me is Nottinghamshire who've gone into tier three from Friday'	contradiction
QT30_153	'I work with teenagers so I know how smart they can be', 'there has always been a little bit of the idea that those young peoplefor the purposes of everything else, they're treated as not being adults'	non-contradiction
QT30_121	'There's a resolution here', 'it's too slow, too late'	non-contradiction
US2016_5	'cost of college today is the cost of high school years ago', 'College today is the equivalent of high school 50 years ago'	contradiction
QT30_142	'in my native land, you can talk about anybody', 'people have no idea what's going on here'	non-contradiction
