ID	prime_sample	label
US2016_020	'defunding planned parenthood is not a huge game changer', 'A lot of people are talking about defunding planned parenthood'	self-contradiction
QT30_561	'it's hard to trust politicians at the best of times', 'the idea that we need complete honesty and complete trust'	self-contradiction
QT50_429	'the issues in the NHS are not care quality issues', 'waiting lists for doctors appointments means it’s a resources issue'	non-contradiction
QT50_451	'we’re not stupid enough to believe anything politicians say, public', 'we watched delusional people thinking that we’re all stupid enough to believe anything they say ourselves'	self-contradiction
QT50_280	'dealing with the actual issues and being ready on day one to come in, not as an apprenticeship but ready on day one, is really important', 'there's a lot of political bickering and Bim Afolami appreciates that'	non-contradiction
QT30_251	'people are still on furlough, people still aren't back in work', 'the conservative there mentioned things will get back to normal'	self-contradiction
QT30_068	'we are not talking about primary issues', 'we are talking about not unimportant issues'	non-contradiction
US2016_007	'this fact is incorrect', 'it's quite scary to imagine that everyone on that stage but Bernie is a Billionaire'	self-contradiction
QT50_203	'actually, Robert Buckland doesn't care what you call it', 'you can call it a windfall tax'	self-contradiction
QT30_186	'then Michelle Dewberry ran secondly as a Brexit Party candidate', 'Michelle Dewberry does not represent the Brexit Party'	self-contradiction
QT50_608	'the IMF forecast the UK to be the only G7 economy that’s going to shrink this year', 'we’ve actually had the third highest rate of growth in the G7 since 2007'	self-contradiction
QT50_237	'Robert Buckland is not going to list the things that worked well now', 'there are a lot of things that Robert Buckland and Boris Johnson did together which worked very, very well indeed'	non-contradiction
QT50_178	'the government is deciding to side with the oil and gas companies rather than those pensioners who are struggling to heat their homes', 'political choices are difficult, Damian Green'	non-contradiction
QT50_542	'the attack on AudienceMember20230126QT08 was just racially motivated', 'AudienceMember20230126QT08 became a person with disability after being attacked by a care work assistant, a support worker, for no reason'	self-contradiction
QT30_269	'Boris Johnson leaves his Health Secretary in charge to our response to a global pandemic', 'Boris Johnson believes his Health Secretary to be incompetent'	self-contradiction
QT30_291	'it is clear the grants are for those businesses that have to close', 'it is great that there has been grants'	non-contradiction
QT50_242	'it doesn't seem to apply to the government', 'think how difficult it is for magistrates applying the rules yet'	non-contradiction
QT50_494	'we are or are not just nostalgic about the old days', 'we have or have not got a lesser class of politicians now than we used to'	non-contradiction
QT50_514	'the nurses strike has come as a real shock', 'over the years, we have got used to different parts of business or organisations going on strike'	self-contradiction
QT30_367	'the Conservative Government in London that is investing £16 billion in the transition fund to move us into this new renewables future in the North East of Scotland', 'the Conservative Government in London is not investing £16 billion in the transition fund to move us into this new renewables in the North East'	self-contradiction
QT50_002	'we followed the guidance', 'My parents both had COVID'	self-contradiction
QT30_189	'Michelle Dewberry is not sitting here, absolutely not, as a representative of any political party at all', 'then Michelle Dewberry ran secondly as a Brexit Party candidate'	self-contradiction
QT50_088	'people in Russia can't play party politics', 'there are people in Russia who would love to play party politics'	self-contradiction
QT30_377	'recognising that our politicians are not there to be separate from the people', 'recognising that our politicians are there to serve the people and be accessible to the people'	non-contradiction
QT50_296	'we have got empty properties in Paignton', 'they are using every bit of land'	self-contradiction
QT50_581	'at the moment, being given a humanitarian visa and coming to the UK to complete the application is not allowed', 'safe and legal routes have worked before'	non-contradiction
QT50_302	'suddenly you say we can't help anymore', 'the Government reaction was one of the best in the world'	self-contradiction
QT50_655	'the Government are outsourcing most of the carbon emissions to China and so on', 'At the same time, the Government are saying they're doing such a wonderful job'	self-contradiction
QT30_058	'there were huge amounts of peaceful protests on the streets as well', 'there was violence'	non-contradiction
QT30_413	'the government can't wait until the next election to have to make choices', 'there are choices to make'	non-contradiction
QT30_008	'Dominic Cummings and the Conservative party have behaved with arrogance and with disrespect to the public', 'Katherine Calderwood accepted there was a potential damage to public consent and participation'	non-contradiction
QT30_418	'unfortunately we've got a just in time government', 'what we need to see for a just in time supply chain is some long term planning'	non-contradiction
