ID	prime_sample	label
QT30_78	'my liberal friends would say to me well, you know, he's the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee', 'I wouldn't have been supporting him for two years if I was a bitter employee'	non-contradiction
QT30_408	'We are looking at the society of Victoria, which is important', 'it isn't encouraging conversation on what's going on now'	non-contradiction
QT30_229	'You're spending 50 per child', 'it is just not going to happen'	non-contradiction
QT30_80	'Mr Trump I thought was going to represent them in Washington', 'he was really just representing himself'	contradiction
QT30_541	'we have to go forward', 'we still must be careful'	contradiction
QT30_468	'A terrible thing to say', 'that's how some people have expressed it'	non-contradiction
QT30_194	'I could be proud to vote for', 'I don't feel the same way anymore'	non-contradiction
QT30_102	'because there are multi-generational households ', 'People say that's impossible because there are multi-generational households'	non-contradiction
QT30_443	'I think any rational person would agree with their cause', 'any rational person would disagree with their methods'	contradiction
QT30_330	'The cost to the consumer, the general public', 'what about the actual politicians that are attending this conference'	non-contradiction
QT30_15	'you are throwing a protective ring around care homes', 'thousands and thousands of people are dying in care homes'	contradiction
QT30_450	'it all has to be done via the phone', 'which I think is wrong when people are saying that you can get in…supposed to be able to see the GP face to face'	non-contradiction
US2016_1	'most of what she said has been fluff and targeted rhetoric', 'Sanders has just been full of platitudes with no specifics'	non-contradiction
QT30_44	'we need to build build build', 'Planning is still an impediment to the pace at which we want to move'	contradiction
QT30_400	'Maybe it is the conditions', 'it is a lot of people now don't want to cut up meat'	non-contradiction
QT30_304	'I've been in a position where myself and my daughter were effectively homeless and it is a really horrible place to be', 'being in that situation is like nothing that I would wish on my worst enemy'	non-contradiction
QT30_164	'we've been separated from our families like never before', 'we've actually come together as a country like never before to confront COVID'	contradiction
QT30_373	'animal agriculture is the second biggest cause of climate change, before transport', 'has the UK government ignored it'	non-contradiction
QT30_18	'you treat people like adults', 'It seems to me to be infantilising of Government ministers to try to pretend that could be the case'	contradiction
QT30_352	'why women have to be fearful of what they're actually…where they're going', 'it's the perpetrators and the focus should be on them and on educating them'	non-contradiction
QT30_349	'some of those companies are behaving well', 'once they get out of Europe, away from the media, where there are governments that can't or don't regulate or whatever it is, and those companies in those countries are behaving in a blatantly irresponsible way'	contradiction
QT30_126	'This is not about timing', 'We can have debates about timing and when the best time to do it would be'	contradiction
QT30_65	'quick action for the businesses affected', 'They had to wait 10 days to find out they're getting 40 million pounds'	contradiction
US2016_6	'cost of college today is the cost of high school years ago', 'a college degree is as important to your future today as the high school diploma was 50 years ago'	contradiction
QT30_521	'It does matter', 'of course, it would be better if it were sooner'	contradiction
QT30_314	'You cannot change the game when you are playing the game', 'that seems to be an attempt here to do that'	contradiction
QT30_252	'at any minute she is going to be evicted', 'That is criminal'	non-contradiction
QT30_483	'they are complaining they haven't got their licences', 'they knew they had to get the licences in January'	non-contradiction
QT30_494	'Northern Ireland wasn't my biggest concern when I voted to leave the EU', ' it is something that is becoming a bit of a dog's dinner'	non-contradiction
QT30_241	'I would like to see restrictions lifted sooner', 'I would like to see us work out a way to live with it on a longer term basis'	contradiction
QT30_55	'I'm very proud of the fact that I'm part of a government that has made some real differences', 'I know these figures will now be distorted because of the situation with the coronavirus'	contradiction
QT30_496	'it would have reduced anyway due to the pandemic', 'the Government have decided to reduce the percentage as well'	non-contradiction
