ID	prime_sample	label
QT50_635	'bullying for children will continue', 'which probably the publishers are using as they monetise the nostalgia that is Roald Dahl for many parents actually'	non-contradiction
QT30_569	'We need to put more into the longer tail', 'It is accessible'	self-contradiction
QT30_013	'we do need to have something which is economically sustainable', 'recognise the costs of this'	non-contradiction
QT30_326	'It doesn't mean they should be let off things', 'a few weeks ago we were talking about the importance of remembering that MPs are human beings'	non-contradiction
QT50_294	'I haven't seen Bim particularly featuring again back to the policy and the strategy of the road that we are on in the Levelling Up Bill as though how this is going to be resolved', 'affordable housing for people to stay in communities is now a massive and growing issue'	non-contradiction
QT50_125	'we would've been fined', 'is never held accountable'	self-contradiction
QT30_318	'I'm feeling positive about COP, actually', 'The leaders didn't have support'	non-contradiction
QT30_440	'apart from the fact that global prices have gone up', 'energy bills are going up'	non-contradiction
QT50_118	'we know that people are going to food banks', 'you talk about food banks'	non-contradiction
QT30_209	'it's only essential travel', 'you can go and visit friends and family'	self-contradiction
QT30_189	'I'm not sitting here, absolutely not, as a representative of any political party at all', 'then I ran secondly as a Brexit Party candidate'	self-contradiction
QT50_207	'we've all got long memories', 'I know it's a long time in politics'	non-contradiction
QT30_198	'how is 48 per cent in the Brexit referendum a mandate to nothing', '48 per cent is a mandate for a referendum'	self-contradiction
QT50_164	'there seems to be a real problem with the whole concept of non-dom status', 'I'm not talking about Rishi Sunak's wife'	non-contradiction
QT50_133	'all the other things that need to be done, you haven't done it', 'both parties can take their hats off and say, actually that was down to us'	non-contradiction
QT50_665	'why have they quadrupled', 'A big problem'	non-contradiction
QT30_541	'there are still people suffering from long COVID, which is a really serious illness', 'There may be less people in hospital with COVID these days'	non-contradiction
QT30_088	'that is a big hurdle it still hasn’t gone over', 'if -- it passes the safety data'	non-contradiction
QT50_369	'you have to think about your livelihood', 'I would be for independence'	non-contradiction
QT50_527	'if they’ve got to safe country first, they don't need to come from France to the UK', 'if you've got to a safe country, we would let people in who have a genuine fear of persecution, if they can get here'	self-contradiction
QT30_255	'there's something wrong where we tell people unless they pump their body full of a chemical, they are out of their job', 'I'm not hesitant'	self-contradiction
QT50_204	'our counterparts in Europe won't change the basis upon which they want to negotiate', 'The government consistently tried to negotiate'	non-contradiction
QT30_161	'All of these things would play second fiddle to a nationalist government who are only interested in separation', 'our parliament has to be focused to protect people's jobs'	non-contradiction
QT50_559	'we have not forgotten what Liz Truss and what your Government did to our economy', 'you forget'	self-contradiction
QT50_029	'to give us 200 pounds which, and this is the small print, we have to pay back so you might call the Government's strategy of dealing with the problem which has been exacerbated by Government as socialism with a miserly face where the Government takes your money, gives it back to you then asks you to return it', 'The Government's proposal to support us during this at a time in which the average bill will rise by 700 pounds is to give 150 pounds back via Council tax which is good'	self-contradiction
US2016_027	'That is not how we grow the economy', 'trumped-up trickle-down , because that 's exactly what it would be'	non-contradiction
US2016_006	'Trump is the only Billionaire', 'This fact is incorrect'	self-contradiction
QT50_169	'it's a bit disingenuous, to say the least, to have somebody who holds public office not to model the behaviour that we would all like to see and not to hold the right standards of behaviour', 'I fully appreciate that'	non-contradiction
QT50_611	'I’m talking about the 600 jobs the Conservative Party have put at risk', 'I am not talking about divestment'	self-contradiction
QT30_393	'these sectors are worth a lot to our economy', 'We have seen a daffodil harvest that didn't happen'	non-contradiction
QT30_142	'people have no idea what's going on here', 'in my native land, you can talk about anybody'	non-contradiction
QT30_093	'I’m not saying it will be straightforward', 'I’m not saying it is easy'	self-contradiction
