ID	prime_sample	label
QT30_104	'This morning, when you were challenged on that question you said you wouldn't bandy around random numbers', 'The problem is your prime minister did that 48 hours earlier'	non-contradiction
QT30_283	'Normal got us here', 'we don't know factually what got us here'	contradiction
QT30_66	'Clarity of messaging is critically important', ' the simpler the message, the harsher it is'	contradiction
QT30_198	' 48 per cent is a mandate for a referendum', 'how is 48 per cent in the Brexit referendum a mandate to nothing'	contradiction
US2016_57	'You supported his trade deal dozen of times', 'Now, suddenly, last week, you're against it'	contradiction
US2016_48	'not global warming', 'like you think'	non-contradiction
QT30_299	'those efforts that you described are happening', 'they haven't been visible to us'	contradiction
QT30_165	'at the very heart of your policies', 'do you really want to spend five years of that nine years arguing about independence'	non-contradiction
QT30_382	'Boris Johnson did what Boris Johnson does', 'It struck me to deliver a speech in that fashion on the very day that Universal Credit was coming to an end for a lot of people'	non-contradiction
QT30_133	'Nothing ends before next Wednesday', 'if you run a business, a pub or a restaurant, you can't be, you know, speedily changing decisions in a matter of days'	non-contradiction
QT30_60	'we should always aspire to move further and faster', 'we must never deny the progress that we've made'	contradiction
QT30_72	'That's why right now from the Scottish government perspective of my day is spent in dealing with the virus and dealing with the economic fall-out of the virus', 'there are going to be questions emerging'	non-contradiction
QT30_290	'I appreciate there are logistical issues', ' it is also the case of tens of thousands of NHS frontline and care staff are also, still, a month after vaccine roll-out began, unvaccinated'	contradiction
QT30_450	'it all has to be done via the phone', 'which I think is wrong when people are saying that you can get in…supposed to be able to see the GP face to face'	non-contradiction
QT30_256	'I think the starting point with this issue isn't whose rights are more important', 'what will get the outcome which we want, which is that everybody gets vaccinated, everybody is protected'	contradiction
QT30_454	'it's not helping her', 'the fire safety bill that has gone through today is the starting point'	non-contradiction
