ID	prime_sample	label
QT50_204	'the government's counterparts in Europe won't change the basis upon which they want to negotiate', 'the government consistently tried to negotiate'	non-contradiction
QT50_547	'what Alex Chalk wanted to say is that we already have in our country certain sectors that can't strike', 'that's absolutely right'	non-contradiction
QT30_019	'if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate, the possibility of doing self-isolation over and over again will be low', 'Helen Whately recognizes that there is a risk that one might be asked to do self-isolation more than once'	non-contradiction
QT30_482	'they knew they had to get the licences in January', 'they are complaining they haven't got their licences'	self-contradiction
QT30_357	'in Scotland we are not allowed to teach people in larger groups yet, even with social distancing', 'in England it is allowed to teach people in larger groups'	non-contradiction
QT50_140	'we're now apparently getting a nuclear power station every year', 'nuclear power wasn't seen to be safe'	self-contradiction
QT50_298	'Bridget Phillipson has the right point', 'Anne McElvoy would love to know where the Labour growth recipe comes from'	non-contradiction
QT50_120	'now Vladimir Putin may well be proved wrong', 'all this time Vladimir Putin knew, well, pretty sure he thought he knew, he could go in and he could take more of the country'	self-contradiction
US2016_034	'that's a terrible idea', 'let TRUMP control the narrative'	self-contradiction
QT50_261	'in 1970 when AudienceMember 20220707QT46 got married he felt very bitter about affordable homes', 'AudienceMember 20220707QT46 agrees with affordable homes'	non-contradiction
QT30_380	'the tax hike is to pay for the hole they have left in the National Health Service budget', 'we got a tax hike on working people to pay not for social care'	self-contradiction
QT50_167	'the rules are wrong', 'Justin Welby is not criticising the Chancellor's wife at all'	non-contradiction
QT50_176	'we have so much more homelessness in this country than we did 12 years ago', 'the government have the ability to make lives better'	self-contradiction
QT30_110	'no, schools are not safe after all', 'schools are absolutely safe'	self-contradiction
QT30_421	'Grant Shapps does not rule out anything', 'giving low skilled worker visas to the HGV drivers is not actually the solution'	self-contradiction
QT30_207	'when the situation changed in England, hey presto, they extended the furlough', 'the extension of the furlough was refused'	self-contradiction
