ID	prime_sample	label
QT30_318	'The leaders didn't have support', 'I'm feeling positive about COP, actually'	non-contradiction
QT30_490	'the Prime Minister said that the Northern Ireland protocol was ingenious and would not result in checks or barriers or border', 'that's what we are seeing and in effect there is a border down the Irish Sea'	contradiction
US2016_9	'This fact is incorrect', 'Trump is the only Billionaire'	contradiction
QT30_172	'When we talk about recovery it just can't be a campaign slogan', 'it has to actually be a national mission'	contradiction
QT30_109	'we haven't seen put into place the e-learning that's necessary for those children so that they really can be receiving the kind of educational input they need', 'We've had so many months when this has been potentially on the cards'	non-contradiction
QT30_286	'When he's interviewed he's asked about his clothes, ties, glasses', 'are not relevant to politics'	non-contradiction
QT30_365	'the online stuff, they're trying really hard', 'it's not cutting it'	non-contradiction
QT30_276	'Boris Johnson or any other politicians feel they can act like a journalist or act like a businessman or something like that', 'no'	non-contradiction
QT30_347	'You're not head of Unilever anymore', 'I know you talked a lot about corporate responsibility'	non-contradiction
QT30_121	'There's a resolution here', 'it's too slow, too late'	non-contradiction
QT30_300	'The young people are hungry for this', 'The barrier to them throwing themselves into all of this activity is the government itself'	non-contradiction
QT30_304	'I've been in a position where myself and my daughter were effectively homeless and it is a really horrible place to be', 'being in that situation is like nothing that I would wish on my worst enemy'	non-contradiction
US2016_55	'You were against same-sex marriage', 'Now you're for it'	contradiction
QT30_141	'we all have to remember as we move forward that it is nothing compared to what Sara Everard's family are feeling this morning', 'we're talking about this in a clinical, policy-driven way about an appalling human event'	non-contradiction
QT30_34	'your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point', 'as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular'	contradiction
QT30_130	'You could share a home life with a teacher going back into nonventilated setting', 'your business can't open'	non-contradiction
