ID	prime_sample	label
QT30_518	'we have slipped into the notion that food banks are part of the landscape now', 'that's a good idea'	non-contradiction
QT30_278	'It is not a broken link', 'it is a dramatically suppressed link'	contradiction
QT30_475	'I've tabled a number of urgent questions to drag the Foreign Secretary to the House of Commons in order to answer questions about this', 'they've never been granted'	non-contradiction
QT30_317	'The last thing I wanted to say to Tim was about this being a case of Boris Johnson showing decency', 'there is a case that Boris Johnson was thinking about his own skin'	non-contradiction
US2016_26	'Governor Walker , when you ran for governor of Wisconsin back in 2010 , you promised that you would create 250,000 jobs in your first term , first four years', 'In fact , Wisconsin added barely half that and ranked 35th in the country in job growth'	contradiction
QT30_463	'I don't know if there's a vaccine that we could use', 'there could be a vaccine'	contradiction
QT30_334	'I would love an electric car', 'I don't want to suffer right now with juice anxiety'	non-contradiction
QT30_435	'Most of us agree with what they're about', 'not the way they're doing it'	non-contradiction
QT30_448	'NHS England changed their guidance in May', 'then actually GPs just carried on doing it remotely anyway'	non-contradiction
QT30_169	'we're being dragged out of the EU against our will', 'that's also one of the routes that we can have back to prosperity, a more equal and just country'	non-contradiction
QT30_438	'protecting those very sacred rights', 'this isn't normal protest'	non-contradiction
QT30_79	'I grew up in a working class family, my dad was an hourly worker', 'it was an aspirational working class family where we were in the middle class'	contradiction
QT30_546	' I think we should be transitioning to that system', 'on this red, amber, green'	non-contradiction
QT30_466	'This is awful', 'I generally trust our carers, our health system to try to judge that you know, the clinical needs and the risks with the patient care, and the family interests'	non-contradiction
QT30_252	'at any minute she is going to be evicted', 'That is criminal'	non-contradiction
QT30_256	'I think the starting point with this issue isn't whose rights are more important', 'what will get the outcome which we want, which is that everybody gets vaccinated, everybody is protected'	contradiction
